Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,GenerationOfBestSolution,Time
0,0.728851384635065,0.800431574568324,((x1 * x3) * (((x2**(x2)) * (x3**(((x2 * cos(cos((x5 + (x2 / x4))))) * log(x5))))) - (x5**(x4)))),x1*x3*(x2**x2*x3**(x2*log(x5)*cos(cos(x2/x4 + x5))) - x5**x4),100,00:01:04.10
1,0.375578294297213,0.345444744921295,(x2**((x5 * x3))),x2**(x3*x5),100,00:00:55.62
2,0.669349635499659,0.689747768840155,((x2**((x5 * x2))) + cos(((x3**(x5)) / log(sin(x1))))),x2**(x2*x5) + cos(x3**x5/log(sin(x1))),100,00:00:57.23
3,-0.046505200885205,0.02989582648965,(((log((x5 / sin(x1))) - sin(x2)) / x1) * ((x3 - ((log(x2) * log(cos(x5))) / x1)) + sin(((x2 + (x3 - log(((log(x2)**(x4)) / x5)))) - cos(x3))))),(x1*(x3 + sin(x2 + x3 - log(log(x2)**x4/x5) - cos(x3))) - log(x2)*log(cos(x5)))*(log(x5/sin(x1)) - sin(x2))/x1**2,100,00:00:43.49
4,0.39519169849968,0.484632261205293,((x4 + x3)**((x4 * x5))),(x3 + x4)**(x4*x5),100,00:00:54.80
5,0.396192240570863,0.459894782127828,(((x4 * x2) / (x1 - sin(x1)))**(x5)),(x2*x4/(x1 - sin(x1)))**x5,100,00:01:19.87
6,0.10864392759125,0.048903258532913,((x2**((sin((x5 * x1)) * (x2 * x2))))**(x5)),(x2**(x2**2*sin(x1*x5)))**x5,100,00:00:55.56
7,0.41267405676685,0.442789250465703,((x4 / (0.161 / x5)) / sin((0.969 - x5))),-6.2111801242236*x4*x5/sin(x5 - 0.969),100,00:00:34.45
8,0.720065981776076,0.753835917650212,((x2 * sin(x5))**(x2)),(x2*sin(x5))**x2,100,00:00:35.84
9,0.47185292257005,0.426806478091349,((x3**((x5 * x2))) - (x0 / (x4**(x5)))),-x0/x4**x5 + x3**(x2*x5),100,00:00:58.65
10,0.192145523309625,0.169441461978758,(((x3**(x3)) + x1)**(x5)),(x1 + x3**x3)**x5,100,00:00:41.38
11,0.216788439833741,0.208230775867788,((x1 - x5)**((x2 * (log(x3) / ((x5 * x0) - x2))))),(x1 - x5)**(x2*log(x3)/(x0*x5 - x2)),100,00:00:31.63
12,0.180239923847502,0.31954376459301,((x5 * x2)**(x4)),(x2*x5)**x4,100,00:00:55.02
13,-0.03894649367587,0.017274877356481,(((x5 + (x1 / x3)) * x4)**((cos(((((x2 / x2)**(x2))**(x0)) / (x3 * x2))) + (x3 + x0)))),(x4*(x1/x3 + x5))**(x0 + x3 + cos(1/(x2*x3))),100,00:00:47.37
14,0.010029844507889,0.11288180389475,((x1 - x5)**(sin(x2))),(x1 - x5)**sin(x2),100,00:00:42.83
15,0.449083111239322,0.517327021472808,(x2 + (((sin((cos(x1) + (x1 / x3))) * x2) * sin(x5))**(x2))),x2 + (x2*sin(x5)*sin(x1/x3 + cos(x1)))**x2,100,00:01:32.67
16,0.296801451311142,0.360274238255395,(x1 * (((x2 / log((x1 / x5))) + (((log(x5) * ((x0 * (sin(log(x3)) + log(x2))) + x0))**(x0))**(x3))) + x2)),x1*(x2 + (x2 + ((x0*(log(x2) + sin(log(x3)) + 1)*log(x5))**x0)**x3)*log(x1/x5))/log(x1/x5),100,00:01:29.83
17,-0.020700285509173,0.126349933997766,((sin(x5) * x2)**((x4 - x5))),(x2*sin(x5))**(x4 - x5),100,00:00:53.29
18,0.62445652634342,0.601174353361211,((((x4 * x1) / (x5 / x2)) * ((x3**(x4)) * (x5 / x5)))**(x5)),(x1*x2*x3**x4*x4/x5)**x5,100,00:00:48.03
19,0.463005644527542,0.541525736862692,(((log(x2) - x0) + (x0 - x3)) + ((x2**(x2))**((x5 * cos(x5))))),-x3 + (x2**x2)**(x5*cos(x5)) + log(x2),100,00:01:16.12
20,0.528319079650509,0.678761173829648,((x2 * x5)**((x1 + x3))),(x2*x5)**(x1 + x3),100,00:00:40.87
21,0.714641056988455,0.720225915691978,((x2 * x5)**(x2)),(x2*x5)**x2,100,00:00:57.33
22,0.197778163116618,0.434653668355651,(log(x2)**((x4**((x4 * x5))))),log(x2)**(x4**(x4*x5)),100,00:00:42.51
23,0.293759154668529,0.40538780953726,((x2**(x5))**((x4 + x1))),(x2**x5)**(x1 + x4),100,00:00:44.60
24,0.204702638501836,0.235308892088121,(((x3 - sin(x1)) + (x5 / x4))**(((x4 * x5) + sin(x1)))),(x3 - sin(x1) + x5/x4)**(x4*x5 + sin(x1)),100,00:00:42.17
25,0.673087069030801,0.680397647146391,(x2**((x5 * x2))),x2**(x2*x5),100,00:01:07.67
26,0.499299751570654,0.474785085166015,(x3**(((x1 + (x5 * x2)) - cos((x1 + x5))))),x3**(x1 + x2*x5 - cos(x1 + x5)),100,00:01:02.72
27,0.1753207375954,0.231400220561637,((cos(((x2 * (x2 * x3)) - (x1 / (x4**(x1))))) - x3) / (x5 - (x5**(log((x5 / (0.912 - x1))))))),(-x3 + cos(x1/x4**x1 - x2**2*x3))/(x5 - x5**log(-x5/(x1 - 0.912))),100,00:00:50.49
28,0.394738968145134,0.535342872025018,(((sin(sin(x5)) * x4)**(x4)) * (log(x2) + x2)),(x4*sin(sin(x5)))**x4*(x2 + log(x2)),100,00:00:48.47
29,0.085144115018914,0.218634988706584,((x2**(x4))**(x5)),(x2**x4)**x5,100,00:00:58.54
