Run,TrainR2Score,TestR2Score,BestSolution,BestSolutionSimplified,IterationOfBestSolution,Time
0,0.312145668177891,0.319498520408746,log((((x2**(x2))**(x2))**(x5))),log(((x2**x2)**x2)**x5),2001,00:00:24.85
1,0.183527560744167,0.131266670586578,log((x2**(((x5 - cos(x4)) * ((x5 - cos(x4)) * x2))))),log(x2**(x2*(x5 - cos(x4))**2)),2001,00:00:25.12
2,0.958327176037631,0.955594575304928,(((0.014 * 0.014)**(((x1 / x2) - x5))) / (((x1 / x5) - x5) - x5)),0.000196**((x1 - x2*x5)/x2)*x5/(x1 - 2*x5**2),2001,00:00:34.58
3,0.223390796448733,0.207024201521123,log(((x3 - (x0 / x3))**(((x5 * x3) * ((x3 - (x0 / x3)) - (x0 / x3)))))),log((-x0/x3 + x3)**(x3*x5*(-2*x0/x3 + x3))),2001,00:00:26.18
4,0.800545193864483,0.818078728702967,((x2 * (x5 / cos((x5 / 0.34)))) / cos((x5 / 0.34))),x2*x5/cos(2.94117647058824*x5)**2,2001,00:00:35.05
5,0.357569959805903,0.320536480466888,log(((((x2 * sin(x5)) + (x2 * sin(x5))) * (x3 * (x2 * sin(x5))))**((x4 + (x2 * sin(x5)))))),log((2*x2**2*x3*sin(x5)**2)**(x2*sin(x5) + x4)),2001,00:00:25.72
6,0.029025225881933,0.066009095249596,log(((x2**(((x2**(x5)) + (x4 - -0.657)))) * (x2**(x5)))),log(x2**(x2**x5 + x4 + x5 + 0.657)),2001,00:00:26.72
7,0.676182127889825,0.696013059176628,((x2**((x2 * x5))) - sin((cos(x5)**(cos(x5))))),x2**(x2*x5) - sin(cos(x5)**cos(x5)),2001,00:00:36.19
8,-0.008547145887101,-0.031247977452313,log((((((x2 + x4) + x4) * x1) + x4)**(x2))),log((x1*(x2 + 2*x4) + x4)**x2),2001,00:00:25.20
9,0.830872375648468,0.793995503495895,((((x5 + -0.103) * (x2 - -0.103))**((x2 - ((x1 + -0.103) * x1)))) / ((x1 + -0.103) * x1)),((x2 + 0.103)*(x5 - 0.103))**(-x1*(x1 - 0.103) + x2)/(x1*(x1 - 0.103)),2001,00:00:36.55
10,0.023958097248967,-0.027829277349013,log((((x5 + x2) + x2)**((x5 + x2)))),log((2*x2 + x5)**(x2 + x5)),2001,00:00:26.22
11,0.673087069030801,0.680397647146391,(x2**((x2 * x5))),x2**(x2*x5),2001,00:00:35.98
12,0.721178735437076,0.702904898985578,((x2 + x5)**((x5 * x2))),(x2 + x5)**(x2*x5),2001,00:00:36.39
13,0.181272549749905,0.135806199804905,log(((x2**(x2))**((x2**(x5))))),log((x2**x2)**(x2**x5)),2001,00:00:25.56
14,0.107497725646885,-0.012629368530376,log(((((x4 * x5) * x2) * x2)**(x2))),log((x2**2*x4*x5)**x2),2001,00:00:26.00
15,0.73801968617463,0.759186100844258,((x5 * ((x2 * x5) * (x4 + (x2 * x5))))**((x2 * x5))),(x2*x5**2*(x2*x5 + x4))**(x2*x5),2001,00:00:36.26
16,0.714641056988455,0.720225915691978,((x2 * x5)**(x2)),(x2*x5)**x2,2001,00:00:35.82
17,0.475191810292523,0.481604670356399,log(((((x2 + x2)**((x5 / -0.16)))**((x5 / -0.16))) * x2)),log(x2/((2*x2)**(-6.25*x5))**(6.25*x5)),2001,00:00:25.05
18,0.142004723825725,0.381027143591905,log((((x4**(((0.259 / x5)**(x0)))) * x2) * (x4**(((0.259 / x5)**(x0)))))),log(x2*x4**(2*(0.259/x5)**x0)),2001,00:00:26.46
19,0.699199762982948,0.687696491277019,(((x2 * (x1 * x2)) * x5)**((x2 * x5))),(x1*x2**2*x5)**(x2*x5),2001,00:00:35.78
20,0.715731395400244,0.725217155641951,(((x5 * x2)**(x2)) - (x2 / (x2 - (x0 - x1)))),(-x2 + (x2*x5)**x2*(-x0 + x1 + x2))/(-x0 + x1 + x2),2001,00:00:35.75
21,0.498418160110545,0.448588456025736,log(((x5 * (x2 * x2))**((x5 * (x2 * x2))))),log((x2**2*x5)**(x2**2*x5)),2001,00:00:24.98
22,0.723360632906946,0.693640995118895,(x5 * ((x5 + (x5 * x2))**(x2))),x5*(x5*(x2 + 1))**x2,2001,00:00:35.33
23,0.711108610846155,0.657925478103736,(((x2 / log(x4))**((x5 * x2))) * (x2**(x5))),x2**x5*(x2/log(x4))**(x2*x5),2001,00:00:34.21
24,0.288772750913303,0.260938674186408,log(((((x2**(x2))**(x2))**(x5)) / x5)),log(((x2**x2)**x2)**x5/x5),2001,00:00:24.32
25,-0.006356383390028,-0.029120106609323,log(((((x3 / 0.134) / 0.134) * (x3 / 0.134)) * x3)),log(x3**3) + 6.02974643709368,2001,00:00:23.82
26,0.826738952284841,0.839931955484758,((x5 / (x2 * (0.216 / x2)))**(x2)),(4.62962962962963*x5)**x2,2001,00:00:32.25
27,0.107047200939935,-0.268110961002884,log(((x5 * x2)**((x2 * (x4 * x4))))),log((x2*x5)**(x2*x4**2)),2001,00:00:24.18
28,0.76090003453569,0.749482228247173,((x2**(x5))**(((x2**(x5)) + x4))),(x2**x5)**(x2**x5 + x4),2001,00:00:33.84
29,0.833970236927307,0.84992157471819,((((((x2 + x2)**(x5)) / x1)**(x5)) / x1)**(((x2 + x2)**(x5)))),(((2*x2)**x5/x1)**x5/x1)**((2*x2)**x5),2001,00:00:31.79
